# fesc_ion	fesc_lya
3.819037646645177114e-02 5.661939186579106886e-01
3.999071945283546627e-03 8.027762741274090119e-02
4.393958449658073688e-03 3.637712734046919666e-02
1.348552913095071512e-02 7.741153453555631447e-01
1.329643481750762517e-02 5.416533503781826298e-01
7.232283692439939182e-02 4.474719822054923357e-01
4.556961363262231925e-03 1.563113532025449115e-01
1.581637429930817310e-02 2.515491259795057388e-01
3.328657406617434034e-01 8.729689807976366289e-01
5.211400277388164234e-03 5.212669226106284581e-01
2.990898391444814577e-03 2.666899247470069442e-02
4.783308196560547357e-03 9.257142857142857117e-01
1.610211472027733501e-02 5.159826560451749033e-01
1.945070189098803415e-02 9.402857142857142803e-01
8.582200118132063166e-05 4.568482908997110320e-02
6.992626687056953914e-03 1.109786674339265922e-01
1.038654269802700841e-01 9.490318906605922367e-01
5.705722257642845303e-03 3.927986906710310699e-01
1.415690313873538752e-03 5.626125388770666369e-01
4.585238534719219584e-03 7.872390152695544208e-01
2.740393628604124291e-05 7.717848672634075591e-01
1.005626387263752752e-02 3.686881232035768563e-01
2.306509710586497619e-02 9.371428571428571663e-01
1.965193966010859439e-01 7.379120081312617874e-01
1.609734798179663848e-02 6.105949076867382974e-01
1.279510916077279507e-02 9.621904761904761516e-01
1.491189301764815449e-02 2.462740864177247746e-01
3.435765464511005528e-03 8.420480214172174627e-01
2.221393575469162666e-03 3.459880909300259710e-01
6.553436761503971149e-03 6.887520303194368809e-01
2.200946336877914952e-02 9.677142857142857491e-01
3.134579143929019929e-01 6.436388941608148784e-01
3.704645468601207997e-02 7.660942582646190768e-01
1.922652127813458556e-03 2.142958531886849927e-01
6.735618215609339050e-03 8.587186184637396469e-02
9.634038762015427471e-02 9.746666666666666812e-01
5.392391543391644032e-02 9.439999999999999503e-01
1.887028827342753076e-04 9.281904761904762324e-01
2.344059477264082321e-03 6.625795953927560156e-02
1.521700486724966283e-03 3.710982245131729806e-01
1.792074506018496993e-02 4.596878196291190322e-01
4.379429047142678437e-03 3.080989017442885003e-01
2.318488707513156541e-02 7.591895149141307808e-01
4.614667094285204718e-02 6.219438024571219970e-01
3.718299486225269679e-02 7.934001736796399973e-01
9.149548880689251963e-04 1.745053351289754529e-01
3.836913425752722095e-03 7.318541077514321147e-01
2.475832096165014526e-02 9.430476190476190235e-01
1.053598093943690882e-02 9.267480577136515407e-01
7.904866869376064170e-03 6.910199932226364083e-01
2.585593507332491561e-02 1.621042788410780866e-01
2.204924453692208835e-03 5.317729239430746269e-01
1.488147579539851606e-01 7.131810193321617142e-01
1.660103798955786178e-02 2.646639511201629436e-01
4.479579157692494614e-04 8.480060195635816811e-01
9.306224369673175845e-03 5.902974299740110231e-01
2.731388393025193295e-04 8.337752734504474406e-01
