ID,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
0,2743.091,0.260476,1675541.0,17458.07,0.144333138656,1.62,1196.8152709,0.0,5000.0,3.51259892355,123456,0,5.108093e-10,1.573543,194.342,5000.0,17.29686,84.82423,101.5759,0.000234048828593
1,1389.15,0.5251525,6191826.0,40442.83,0.382935814016,2.46,110.023480164,0.0,5000.0,7.76525480853,123456,1,3.240601e-10,2.865018,36.15401,5000.0,44.20182,76.35717,337.4193,0.0114574395231
2,1851.498,0.6424562,18652710.0,25166.99,0.35939423109,1.6,155.068009819,0.0,5000.0,6.48646079385,123456,2,1.293118e-12,2.545195,136.4888,5000.0,24.75504,72.20188,531.2449,0.000688551847781
3,1810.834,0.3956378,29090120.0,36361.43,0.498211754077,2.44,1303.50974694,0.0,5000.0,4.5204502286,123456,3,6.739501e-07,0.04285764,142.7808,5000.0,32.90819,18.42853,256.8529,0.00383257745148
4,1415.145,0.2160217,3480883.0,46159.14,0.507053100402,2.26,477.34880627,0.0,5000.0,4.42205149689,123456,4,8.269688e-09,0.1606485,126.3921,5000.0,6.307195,54.8316,167.9215,0.000518555058031
5,2418.999,0.1624288,12566190.0,19143.92,0.60317548574,2.29,822.066535401,0.0,5000.0,2.66232815327,123456,5,3.892991e-07,0.1453195,199.0582,5000.0,27.30464,36.77455,760.4303,0.000818162164985
6,797.3588,0.4312952,1853642.0,39848.52,0.565839215911,2.1,646.073104519,0.0,5000.0,4.81533670803,123456,6,3.205397e-11,0.8988974,64.61429,5000.0,58.4786,94.86668,490.3653,0.0502070825375
7,1801.563,0.6458831,11688160.0,11727.97,0.237191924031,1.72,282.38976044,0.0,5000.0,3.4223654529,123456,7,5.070898e-08,1.603176,118.6276,5000.0,54.5597,29.24483,502.5971,0.0280127625677
8,2809.699,0.1244552,342517.7,38008.41,0.472003629816,1.5,366.276923639,0.0,5000.0,1.00610713377,123456,8,1.264346e-07,0.3032661,181.2491,5000.0,47.96266,18.72207,328.3565,0.000105118504046
9,2142.604,0.7605858,22132410.0,27685.72,0.383081600529,1.21,87.7188322465,0.0,5000.0,7.37201066412,123456,9,4.583662e-10,0.1780062,47.37758,5000.0,59.1107,50.70117,138.1003,0.000176748317304
10,1704.881,0.6851966,10343770.0,7605.495,0.161566083823,1.49,339.60048014,0.0,5000.0,6.95885081607,123456,10,6.249138e-12,2.924339,159.1599,5000.0,9.008521,20.9248,741.0807,0.00771577934375
11,2359.863,0.7242701,19631750.0,41114.13,0.0479967312402,1.86,1423.21463292,0.0,5000.0,6.38202830109,123456,11,1.194119e-11,0.06935964,82.68161,5000.0,81.33729,75.50904,427.6467,0.0043017608765
