,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
0,1590.434,0.9493669,625964.1,42056.94,0.727610924107,1.72,6427.18819485,0.0,5000.0,6.57546149847,123456,0,1.680993e-08,0.07009635,126.5768,5000.0,55.1482,71.93522,253.4689,0.000453290065612
1,2270.288,0.9451321,5204529.0,19627.43,0.841568304505,1.26,4844.6690002,0.0,5000.0,6.53744270756,123456,1,6.237624e-07,0.07317431,143.8017,5000.0,54.61314,18.97991,45.69251,0.000122727252246
2,1710.8,0.958833,360740.8,9237.64,0.911611835053,1.72,1869.07453367,0.0,5000.0,4.73257516857,123456,2,2.329951e-12,0.1110126,32.27047,5000.0,55.21901,7.200272,100.8174,0.00332788545375
3,2555.399,0.9411423,548439.2,18758.77,0.0599960845667,1.84,8139.8475672,0.0,5000.0,5.32134634267,123456,3,5.191179e-11,0.3013715,86.10126,5000.0,54.71816,98.74099,512.7302,0.00197425198939
4,534.4211,0.9408214,27429410.0,11689.45,0.294503923564,2.41,8364.3789941,0.0,5000.0,6.36434897299,123456,4,1.546379e-10,1.133918,125.4034,5000.0,54.50873,63.46264,296.2006,0.000168323119329
5,1534.505,0.9771273,1711137.0,22754.1,0.223476661523,2.33,8630.37265519,0.0,5000.0,3.59983967513,123456,5,2.590644e-10,0.09860005,122.1894,5000.0,53.72238,48.42544,302.7637,0.00140920192213
6,637.516,0.9556116,6152938.0,6807.556,0.0562956333845,2.49,8914.10802711,0.0,5000.0,3.12700304971,123456,6,1.328591e-07,0.4108697,141.7838,5000.0,54.95498,32.27093,268.1397,0.000330523068097
7,1507.024,0.9544002,9392629.0,49499.88,0.461480831697,1.97,13569.3918569,0.0,5000.0,7.5053378885,123456,7,3.276264e-10,0.1446633,92.53659,5000.0,54.59627,59.02333,542.4189,0.000133392680267
8,1166.852,0.9537843,14170380.0,25858.7,0.219117165603,2.34,21872.4488019,0.0,5000.0,5.15608151159,123456,8,4.202477e-11,0.06832833,113.7875,5000.0,55.07525,54.61881,469.1832,0.000197235693508
9,2861.553,0.9613819,779963.1,48001.36,0.533323379247,1.32,1328.56606068,0.0,5000.0,4.97155439819,123456,9,3.792346e-09,0.1928856,91.66004,5000.0,55.22157,93.70685,180.5941,0.000252589064462
10,1892.237,0.9600344,1648171.0,9375.906,0.311946264491,2.46,5593.10844668,0.0,5000.0,1.41037144006,123456,10,2.347319e-08,0.04940197,183.1103,5000.0,54.98961,18.53136,7.47886,0.00454366989312
11,2557.27,0.9663287,390880.5,11170.99,0.0363754518033,2.15,5713.50891287,0.0,5000.0,2.77808210938,123456,11,7.720754e-12,1.13711,36.40948,5000.0,54.42037,6.566804,733.342,0.0222459030595
12,2463.396,0.9669952,1209987.0,37575.32,0.173810469979,1.6,1413.53071142,0.0,5000.0,6.41582479182,123456,12,4.558118e-11,0.7989605,135.7585,5000.0,53.78524,81.17786,153.2156,0.0748890280379
13,2615.062,0.9459722,30371200.0,26488.75,0.0817296940439,1.13,703.480092252,0.0,5000.0,4.20797555384,123456,13,2.269725e-11,2.181195,107.6897,5000.0,54.90098,33.89461,9.760069,0.0139630950277
14,767.817,0.9422957,29971450.0,9991.063,0.256655234377,1.71,8671.23832173,0.0,5000.0,2.45037414819,123456,14,3.166075e-10,0.5352967,129.8416,5000.0,54.05132,55.90591,590.8184,0.000104381950435
15,2167.565,0.9462781,391383.5,37053.2,0.895816275063,1.14,1131.00875845,0.0,5000.0,4.93844612832,123456,15,1.807293e-09,0.1984619,196.3991,5000.0,54.72193,24.75517,265.8412,0.00018761632743
16,2531.29,0.9644,18416780.0,9745.837,0.407751083697,2.29,3083.46628774,0.0,5000.0,6.21973069135,123456,16,5.843329e-11,0.4090628,44.95808,5000.0,54.66358,79.1588,465.503,0.000472453113269
17,1968.044,0.9641352,17295420.0,8370.774,0.0514654105238,1.4,23775.5695105,0.0,5000.0,6.81241710059,123456,17,9.448611e-11,0.09993343,198.0563,5000.0,54.65208,38.93424,487.1817,0.0759169712465
18,703.8077,0.9633571,556178.8,11826.33,0.769016208834,1.66,13067.1575885,0.0,5000.0,4.92314796614,123456,18,9.99499e-07,0.638479,187.2104,5000.0,54.72837,99.75113,355.1629,0.0121377004425
19,604.9131,0.9510808,6401972.0,20907.15,0.60154184342,1.13,3775.59170781,0.0,5000.0,1.8208699007,123456,19,4.352744e-12,0.9878435,102.6416,5000.0,54.56449,33.2301,720.9116,0.000149684211416
20,2778.36,0.9657232,25349660.0,20729.94,0.255211250271,2.48,5605.78798466,0.0,5000.0,7.2792881453,123456,20,1.063098e-07,0.6110146,82.74329,5000.0,54.61373,29.09607,671.3109,0.0338083723582
21,1922.846,0.9400091,27817480.0,16542.66,0.645340824242,1.39,19176.2709727,0.0,5000.0,7.6633334844,123456,21,4.739293e-08,0.05681198,98.18945,5000.0,55.08477,8.021766,798.2639,0.0772423565647
22,541.0976,0.9716091,29788850.0,17552.92,0.637887166101,1.43,11590.6839044,0.0,5000.0,7.02029668027,123456,22,1.265317e-07,0.1653457,45.64712,5000.0,54.54242,67.02259,652.5577,0.000968869956907
