# velocity intensity intensity_error
# km/s arbitrary_units arbitrary_units
-1736.46760577 2.63525360592e-05 1.92234846637e-05
-1701.63046126 -6.50997388066e-06 1.92234846637e-05
-1666.80136565 -2.67726872083e-05 1.92234846637e-05
-1631.98031613 1.01372755388e-05 1.92234846637e-05
-1597.16730993 -3.39147779066e-06 1.92234846637e-05
-1562.36234425 -2.53112111328e-05 1.92234846637e-05
-1527.56541631 8.83280843919e-07 1.92234846637e-05
-1492.77652332 -1.93902623036e-05 1.92234846637e-05
-1457.99566252 6.21575028149e-07 1.92234846637e-05
-1423.2228311 -2.36252505316e-05 1.92234846637e-05
-1388.45802629 -5.35032996169e-06 1.92234846637e-05
-1353.70124532 -1.20235979535e-05 1.92234846637e-05
-1318.95248541 7.59438777613e-06 1.92234846637e-05
-1284.21174377 2.09864623932e-05 1.92234846637e-05
-1249.47901764 5.50374575291e-06 1.92234846637e-05
-1214.75430423 -7.12738339043e-07 1.92234846637e-05
-1180.03760079 2.8886473125e-05 1.92234846637e-05
-1145.32890453 -2.41263794962e-06 1.92234846637e-05
-1110.62821269 2.38365527306e-05 1.92234846637e-05
-1075.9355225 6.11045644346e-06 1.92234846637e-05
-1041.25083119 1.41671828863e-05 1.92234846637e-05
-1006.57413599 1.3812766694e-05 1.92234846637e-05
-971.905434149 3.96274141242e-05 1.92234846637e-05
-937.24472289 6.33554499619e-05 1.92234846637e-05
-902.591999456 6.81563734834e-05 1.92234846637e-05
-867.947261085 3.10723798758e-05 1.92234846637e-05
-833.310505018 5.69151356349e-05 1.92234846637e-05
-798.681728497 7.74572467991e-05 1.92234846637e-05
-764.060928764 0.000103370561269 1.92234846637e-05
-729.448103063 0.000101162303947 1.92234846637e-05
-694.84324864 0.00011600203602 1.92234846637e-05
-660.246362741 0.000128296524883 1.92234846637e-05
-625.657442615 0.000161843370564 1.92234846637e-05
-591.07648551 0.000183326875203 1.92234846637e-05
-556.503488677 0.000208684566001 1.92234846637e-05
-521.938449368 0.000286144211268 1.92234846637e-05
-487.381364836 0.000363604851058 1.92234846637e-05
-452.832232335 0.000400344530722 1.92234846637e-05
-418.29104912 0.000450393216254 1.92234846637e-05
-383.757812449 0.000591788160762 1.92234846637e-05
-349.232519578 0.000693963245065 1.92234846637e-05
-314.715167769 0.000805055003179 1.92234846637e-05
-280.20575428 0.000920991129717 1.92234846637e-05
-245.704276375 0.000873278157337 1.92234846637e-05
-211.210731316 0.000865157101031 1.92234846637e-05
-176.725116367 0.000844252251097 1.92234846637e-05
-142.247428794 0.000861488362156 1.92234846637e-05
-107.777665864 0.000858148862367 1.92234846637e-05
-73.3158248455 0.000966769495323 1.92234846637e-05
-38.8619030071 0.00103536795063 1.92234846637e-05
-4.4158976196 0.00108380535369 1.92234846637e-05
30.0221940451 0.00112702465746 1.92234846637e-05
64.4523747135 0.00109251527163 1.92234846637e-05
98.8746471118 0.00102437429639 1.92234846637e-05
133.289013964 0.00110831770089 1.92234846637e-05
167.695477993 0.000992537557254 1.92234846637e-05
202.094041921 0.000929770140762 1.92234846637e-05
236.484708469 0.000883687660833 1.92234846637e-05
270.867480355 0.000905973325884 1.92234846637e-05
305.242360299 0.000940879997035 1.92234846637e-05
339.609351017 0.000943959350838 1.92234846637e-05
373.968455224 0.000954006115564 1.92234846637e-05
408.319675635 0.000836329575735 1.92234846637e-05
442.663014962 0.000776027003208 1.92234846637e-05
476.998475919 0.000722127581297 1.92234846637e-05
511.326061216 0.000679260024206 1.92234846637e-05
545.645773561 0.000548408686619 1.92234846637e-05
579.957615664 0.000414595348811 1.92234846637e-05
614.26159023 0.000297245954337 1.92234846637e-05
648.557699966 0.000191175798916 1.92234846637e-05
682.845947576 0.00012521073286 1.92234846637e-05
717.126335764 6.85087482887e-05 1.92234846637e-05
751.39886723 2.87581798024e-05 1.92234846637e-05
785.663544677 1.50669111289e-05 1.92234846637e-05
819.920370803 -4.29988977956e-06 1.92234846637e-05
854.169348307 6.02832987341e-06 1.92234846637e-05
888.410479885 1.48942307245e-05 1.92234846637e-05
922.643768234 2.9849850768e-05 1.92234846637e-05
956.869216048 9.58186124002e-06 1.92234846637e-05
991.08682602 1.12422940349e-05 1.92234846637e-05
1025.29660084 -1.34997301409e-05 1.92234846637e-05
1059.49854321 -2.30906060371e-05 1.92234846637e-05
1093.6926558 5.49065993869e-06 1.92234846637e-05
1127.87894131 2.14784890079e-05 1.92234846637e-05
1162.05740243 1.35260303328e-05 1.92234846637e-05
1196.22804185 3.03964713996e-05 1.92234846637e-05
1230.39086223 1.54876462278e-05 1.92234846637e-05
1264.54586628 2.83455371135e-06 1.92234846637e-05
1298.69305668 -9.40149390583e-06 1.92234846637e-05
1332.83243609 -1.69357718331e-05 1.92234846637e-05
